날짜,제목,내용
2023.06.06.,항공기 비상문 ‘쉽게 열려야’ 45% vs ‘어려워야’ 36%,"2%가 ‘매우 강도 높은 처벌이 필요하다’고 응답했다. 이번 사고로 불안 증세를 호소하는 승객들에 대한 항공사의 보상 조치(중복 응답)로는 ‘정신적 피해 위자료’(36.5%), ‘병원비’(23.0%), ‘항공권 환불’(18.9%) 등을 제공해야 한다는 응답이 나왔다. ‘항공사가 보상할 필요는 없다’는 의견은 13.5%였다."
2023.06.06.,"아시아나항공, 7일부터 무더기 지연 출발 가능성…왜?","3년분 임금 동결에는 공감대를 보였지만 2022년 임금 인상을 놓고는 갈등을 빚고 있다. 사측은 2.5% 인상을 제시했지만 조종사 노조는 10% 인상을 원한다. 노조측은 대한항공을 비롯해 제주항공, 티웨이항공 등의 임금 인상률이 10% 이상이라는 점을 고려할 때 비슷한 수준의 인상이 이뤄져야 한다고 주장한다．"
2023.06.06.,항공업계 업사이클링 '붐'...재활용 소재 활용 극대화,대한항공은 최근 은퇴한 항공기를 활용해 업사이클링 상품을 제작했다. 대한항공은 은퇴한 보잉 777-200ER 항공기 자재를 활용한 네임택과 골프 볼마커를 출시했다. 해당 항공기는 도입 이후 전 세계 95개 도시를 대상으로 총 1만1274회의 비행을 마치고 2020년 3월 샌프란시스코~인천 비행을 끝으로 은퇴했다. 이번...
2023.06.06.,"[단독] '홍수 사태' 카호우카 댐 폭파 예견됐었다… 유엔, 조치요청 방치 의혹...","이어 ""우크라군이 드네프르강(우크라이나어 드니프로강)을 따라 해상 지뢰를 투하하거나 대규모로 미사일 공격을 가하려고 한다""며 ""강 수위 상승을 초래할 수 있는 댐에 대한 항공타격이 기록되고 있다""고 우려했다. 그러면서 ""우크라이나의 이러한 무분별한 공격은 주변 지역의 치명적인 침수와 헤르손시..."
2023.06.07.,"조원태 ""무엇을 포기하든 대한항공·아시아나 합병 성사시킬 것""","조원태 한진그룹 회장이 대한항공과 아시아나항공의 합병을 위해 관련국 규제 당국에 상당히 양보할 의사가 있다고 밝혔습니다. 현지시간으로 5일 조원태 회장은 튀르키예 이스탄불에서 열린 국제항공운송협회(IATA) 연례 총회와 관련한 블룸버그TV와의 인터뷰에서 ""무엇을 포기하든 합병을 성사시킬 것..."
2023.06.07.,한 시간 이용료 약 2800만원...블랙핑크 대한항공 전용기 내부 들여다보니,대한항공은 최근 공식 인스타그램을 통해 블랙핑크 멤버들이 이용하는 전용기 내부 사진을 공개했다. 대한항공은 블랙핑크 전용기 내부를 공개하며 '월클 셀럽들이 이용한다는 소문의 전용기. 대한항공에 전용기 서비스가 있다? 없다? 정답은 있다!'라고 홍보했다. 대한항공은 지난 3월 블랙핑크...
2023.06.07.,"조원태 회장, 대한항공-아시아나항공 기업결합에 ‘100%’","기업 결합은 성사될 것"" 대한항공 조원태 한진그룹 회장이 대한항공과 아시아나항공의 기업결합에 대한 의지를 재차 밝혔다. 조 회장은 5일 튀르키예 이스탄불에서 열린 '에어 트랜스포트 월드' 행사에서 블룸버그TV와의 인터뷰에서 ""우리는 여기에 100%를 걸었다""며 ""기업결합은 성사될 것""이라고 말했다. 조..."
2023.06.07.,"대한항공, 올해 첫 사무라이본드 추진…한일관계 해빙 효과 기대",대한항공이 올해 첫 사무라이본드(엔화 표시 채권) 발행에 나섰다. 한일 관계에 해빙 기류가 조성된 가운데 한국 기업에 대한 일본의 투자 심리를 가늠하는 벤치마크(기준점)가 될 전망이다. 5일 투자은행(IB) 업계에 따르면 대한항공은 이달 중 사무라이본드 발행을 위한 수요예측을 진행할 예정이다....
2023.06.07.,"오기노 감독의 한국 배구 존중 ""대한항공 폄훼 무셜스키 언짢아""","무셜스키는 당시 8강 조별리그에서 3-0으로 꺾은 한국 클럽 대표 대한항공을 ""일본 리그 9∼11위 수준""이라고 답했다. 일본 리그 남자부가 10개 팀으로 운영되는 점을 고려하면 사실상 최하위 전력이라고 말한 것이다. 당시 대한항공은 주전 세터 한선수와 미들 블로커 김규민, 외국인 선수 링컨 윌리엄스를 빼고..."
2023.06.07.,"대한항공, 에어라인 엑설런스 어워즈서 3개 부문 수상",효율적인 화물기 운영과 서비스 경쟁력 강화 인정 받아 대한항공이 반세기 넘게 축적한 여객‧화물 운송 부문의 노하우를 바탕으로 코로나 팬데믹을 성공적으로 극복한 노력을 글로벌 항공업계로부터 인정받았다. 대한항공은 지난 5월 말 호주 항공·여행 전문 매체 '에어라인레이팅'(AirlineRatings)이...
2023.06.07.,‘산토리 출신’ 오기노 감독의 반문 “대한항공이 일본리그 하위권? 100% 아...,산토리는 지난달 2023 아시아 남자 클럽 배구 선수권대회서 지난 시즌 V리그 통합우승 팀 대한항공에 3-0 완승을 거두기도 했다. 당시 산토리 외국인 선수 드미트리 무셜스키(러시아)가 대한항공을 일본리그 9~11위 수준으로 평가해 굴욕을 안기기도 했는데 오기노 감독은 이 부분에 대해서도 언급했다. 오기노...
2023.06.07.,"조원태 한진그룹 회장 ""아시아나항공 인수, 무엇을 포기하더라도 성사시킬 것...","조원태 한진그룹 회장이 대한항공과 아시아나항공의 합병의지를 드러낸 가운데 난기류가 계속되는 분위기다. EU, 미국, 일본 경쟁당국의 기업결합심사가 아직 남아있는 데다 각국이 제기하는 경쟁 제한 우려가 큰 것으로 알려져서다. 이에 더해 아시아나항공은 공정위를 상대로 제기한 과징금 취소 소송에서..."
2023.06.07.,"조원태 한진그룹 회장, 'ATW 2023 올해의 항공업계 리더십상' 수상","7일 대한항공에 따르면 조 회장의 수상은 지난 2019년 IATA 집행위원회 위원, 스카이팀 이사회 의장 취임 후 성공적인 역할 수행 등으로 글로벌 항공업계 핵심 리더로 자리매김한 점이 반영됐다. 발상의 전환과 빠른 판단으로 팬데믹 위기를 성공적으로 극복하고, 아시아나항공 인수 결정으로..."
2023.06.08.,"""신세계유니버스클럽, 10배 가치 돌려줄 것…KT·대한항공 제휴 논의""","강희석 이마트 대표는 8일 공개한 온·오프라인 통합 멤버십 신세계유니버스클럽 효용성을 강조하며 KT, 대한항공 등 기업과 논의를 통해 외부 제휴처도 늘려갈 것이라고 밝혔다. 강 대표는 이날 서울 코엑스에서 열린 신세계 유니버스 페스티벌에서 “만약 고객이 신세계유니버스클럽 멤버십을 선택해 준다면..."
2023.06.08.,"우리 '댕댕이', 어느 항공기 타고 갈까?.. ""반려동물여행, 이렇게 늘었다고?""","대한항공의 경우 2017년부터 반려동물 마일리지 서비스 '스카이펫츠(SKYPETS)'를 도입 운영하고 있습니다. 스카이펫츠는 반려동물과 함께 여행할 때마다 스탬프를 모아 반려동물을 운송할 때 운송요금 할인이나 무료 운송 보너스를 이용할 수 있는 반려동물 동반 고객 우대 프로그램으로, 국내선 1구간 당 스탬프..."
