날짜,제목,내용
2023.06.04.,"'강백호 결승타' KT, 두산 꺾고 2연승","kt wiz가 두산 베어스를 꺾고 2연승을 달렸다. KT는 4일 수원 케이티 위즈파크에서 열린 2023 신한은행 SOL KBO 리그 두산과의 홈경기에서 5-2로 승리했다. 이날 승리로 KT는 18승2무30패를 기록했다. 두산은 24승24패가 됐다. KT는 선발투수 이선우가 2이닝 2실점으로 물러났지만, 주권과 손동현, 박영현이..."
2023.06.04.,"[ZD브리핑] 대표 공석 KT, 신규 사외이사 선임 ‘초 읽기’",지디브리핑 KT 신규 사외이사 후보자 공개 초읽기 비상경영위원회 체제의 KT가 운영하고 있는 뉴거버넌스구축TF가 새로운 사외이사 후보를 8일 공개할 전망입니다. 총 7명의 사외이사 명단을 공시하게 됩니다. 기존 사외이사 1명과 더해 총 8명의 사외이사를 꾸리는 식입니다. 여기에 새 대표이사를 포함한...
2023.06.04.,"KT, 4일 두산전서 청년부상제대군인 초청 행사 진행","KT 위즈가 4일 수원 KT위즈파크에서 열린 두산 베어스와의 홈 경기에 호국보훈의 달을 맞아 특별한 시구자를 초청했다. 이날 KT는 서울시 청년부상제대군인 상담센터와의 협력으로, 국가의 부름을 받고 군 복무를 하던 중 부상을 입고 제대한 청년과 가족을 초대해 시구 행사를 진행하고 경기 관람을 지원했다...."
2023.06.04.,"KT 위즈, 두산전 위닝시리즈로 6월 힘찬 출발",KT 위즈 제공 KT 위즈가 4연패 늪에서 벗어나 위닝시리즈로 6월의 첫 주를 힘차게 출발했다. KT는 4일 수원 케이티위즈파크에서 열린 두산 베어스와의 2023 신한은행 SOL KBO리그 주말 3연전서 ‘불펜데이’로 마운드를 가동하고 타선의 응집력을 앞세워 5대2 승리를 거뒀다. 이날 불펜 투수 이선우를 선발로...
2023.06.04.,[포토] KT 주권 '4회부터는 내가 맡는다',4일 수원 케이티위즈파크에서 KBO리그 두산과 KT의 경기가 열렸다. 힘차게 투구하고 있는 KT 주권. 수원=/2023.06.04
2023.06.04.,"곰 잡은 '마법사' kt, 두산 5-2 꺾고 위닝시리즈 완성",kt위즈가 주말 3연전 위닝시리즈의 주인공이 됐다. kt는 4일 수원 kt위즈파크에서 열린 2023 신한은행 SOL KBO리그 두산 베어스와의 경기서 5-2로 승리했다. 이날 승리로 kt는 2연승과 더불어 주말 3연전을 위닝시리즈로 장식했다. 첫 선발로 나섰던 사임드암 투수 이선우는 2이닝 3피안타(1피홈런) 무사사구...
2023.06.04.,"[데스크칼럼] 10구단과 kt wiz 유치, 과연 잘한 것일까",kt wiz 야구단이 수원에 자리잡은지 10년이라는 시간이 지났다. 수원시는 10구단을 유치하기 위해 25년의 무상 임대를 내걸었고 경기장에 기업명을 걸 수... 그런데 kt wiz는 어떤가? 불과 창단 8년만에 kt wiz가 한국시리즈에서 우승할 수 있었던 데는 수원시는 물론 수원 시민들의 지원이 뒷받침 됐기 때문이다....
2023.06.05.,"방통위, '갤S23 불법보조금 지급' KT·LG유플러스에 경고","2년 만의 통신사 대상 경고…""구두 경고했으나 말 안 들어"" 방송통신위원회는 최근 갤럭시S23 시리즈 등에 대해 불법 보조금을 지급해 휴대전화 대란을 야기한 KT와 LG유플러스에 최근 서면으로 경고했다고 5일 밝혔다. 방통위의 이동통신사 대상 서면 경고는 2021년 이후 약 2년 만이다. 방통위는 두..."
2023.06.05.,"KT, AI 코디니 기능 골라 쓰는 '코딩 스페이스' 선봬","KT가 AI(인공지능) 코딩 교육 플랫폼 'AI 코디니'의 기능 중 고객사가 원하는 기능만 선택해 사용할 수 있는 코딩 스페이스를 선보인다고 5일 밝혔다. KT AI 코디니는 AI 시대에 맞춰서 블록코딩부터 AI 모델링 기능까지 탑재하고 있다. 대한민국 학교에 보급되고 있는 크롬북, 안드로이드 태블릿에서도 교구..."
2023.06.05.,[잇속] SKT·KT·KT스카이라이프 외,"◆KT, AI 코디니 '코딩 스페이스' 선봬 KT(030200)가 AI 코디니의 기능 중 고객사가 원하는 기능만 선택해서 인공지능(AI) 코디니를 변경해 사용할 수 있는 코딩 스페이스를 선보인다. AI 코디니는 블록코딩부터 AI 모델링 기능까지 탑재한 AI 코딩 교육 플랫폼이다. KT는 AI 코디니를 사용하는 고객사들이..."
