날짜,제목,내용
2023.06.04.,"SK텔레콤-밀리패스, 군인 고객 인증 절차 간소화 맞손",SK텔레콤은 군인 고객들의 각종 인증 절차를 개선하고자 밀리패스와 협약을 체결했다. 사진=SK텔레콤 제공 매일일보 = 박효길 기자 | SK텔레콤이 정전 협정∙한미 동맹 70주년과 6월 호국보훈의 달을 맞아 국군 장병들에 감사함을 담은 다양한 특화 혜택을 선보인다. SK텔레콤은 국내 통신사 최초로 군인 신분...
2023.06.04.,SK텔레콤이 설악산·치악산에서 '설거지' 나선 이유,"친환경 프로젝트 '해피해빗'을 추진하고 있는 SK텔레콤은 이런 지점에 주목했다. 국립공원공단과 함께 치악산, 설악산에서 일회용품 없이도 캠핑을 즐길 수 있도록 '다회용품 이용 서비스'를 시범 운영하고 있다고 한다. 국립공원은 우리나라 자연 생태계를 대표할 만한 지역으로 지정된 곳이므로 다회용기..."
2023.06.04.,"SK텔레콤, 청년 요금제로 '0(Young)' 심(心) 잡는다","SK텔레콤이 만34세 이하 고객을 대상으로 '0 청년 요금제' 를 선보이고, 청년 세대를 위한 혜택을 강화한다. '0(영) 청년 요금제' 는 기존 5G 요금제와 같은 가격에 데이터 제공량을 최대 50GB 늘렸다. 또 기존 약정/결합 할인을 유지하면서 요금제 변경이 가능하도록 해 청년 세대가 부담없이 통신 서비스를..."
2023.06.04.,"화성시, SK텔레콤과 협약…온실가스 배출권거래제 외부사업 등록 추진","시는 지난 2021년 SK텔레콤과 컨소시엄 구성해 수행한 '지역 에너지신산업 활성화 지원사업'으로, 노후 가로등 기구 고효율 LED 교체, 디밍제어기 설치, 빅데이터 기술을 이용한 스마트관제시스템 적용으로, 연간 약 9억9000만 원의 전기요금 절감 효과와 함께 약 3000t의 온실가스 배출량 감축 효과를 보고..."
2023.06.04.,"[단독]SKT, 내달 5G 중간요금 도매제공…5G 알뜰폰 춘추전국시대","LG유플러스, KT에 이어 SK텔레콤도 자사 망을 임대해 사용하는 알뜰폰 사업자들에게 신규 5G 중간요금제를 도매 제공한다. 이에 따라 알뜰폰 사업자들은 이통사 망 상관 없이 5G 데이터 30~100GB 구간 요금 상품을 출시할 수 있게 된다. 알뜰폰 5G 요금제 상품이 더욱 다양해질 전망이다. 2일..."
2023.06.04.,"LCK 서머=‘통신 3사’ 대결…젠지·LGU+, 스폰서십 체결[SS시선집중]",제공 | 젠지 올해 ‘LoL 챔피언스 코리아(이하 LCK)’ 서머 스플릿은 이동통신 3사(SK텔레콤·KT·LG유플러스)간 자존심 대결로 펼쳐진다. 기존 통신사 매치로 불렸던 T1과 KT 롤스터에 더해 젠지가 LG유플러스와 손을 맞잡은 것. ‘통사 3사’ 매치로 확대되면서 팬들의 재미도 배가 될 전망이다. 글로벌 e스포츠...
2023.06.05.,"이마트에브리데이, SK텔레콤 6월 'T데이' 행사 참여","이마트에브리데이는 10일까지 SK텔레콤의 멤버십 회원 대상 프로모션 6월 'T데이' 행사에 참여해 20% 할인 혜택을 제공한다고 5일 밝혔다. 행사 기간 SK텔레콤의 T 멤버십 고객이라면 누구나 이마트에브리데이 전국 매장 및 e마일 앱, 자연주의 친환경 전문점에서 4만원 이상 구매 시 20%(최대 할인액 1만원)..."
2023.06.05.,"김종승 SK텔레콤 웹3.0 팀장 ""토큰증권 통해 일상 체감형 금융상품 등장할 것...",김종승 SKT 웹3.0 팀장 / 사진=이성우 기자 SKT에서 웹3.0 사업을 이끌고 있는 김종승 팀장이 토큰증권으로 인해 일상 체감형 금융상품이 등장할 것이라고 전망했다. 이에 따라 소비패턴과 투자패턴이 바뀔 수 있다는 것이다. 김 팀장은 5일 서울 여의도 국회서 열린 '기업의 힘이 되는 STO' 토론회에서 '토큰증권 시대...
2023.06.05.,"신한카드, SK텔레콤과 맞손...‘T 멤버십 라이프 신한카드’ 출시",신한카드는 SK텔레콤과 함께 T 멤버십 고객을 위해 월 최대 8만 포인트 적립 혜택을 제공하는 'T 멤버십 라이프 신한카드(이하 T 멤버십 신한카드)'를 출시했다고 5일 밝혔다. 이 카드는 T 멤버십 고객의 이용 패턴을 분석해 고객이 선호하는 제휴처에서 카드 이용실적에 따라 다양한 혜택을 받을 수 있도록...
2023.06.05.,[통신 소식] SK텔레콤·KT·LG유플러스 外,"SK텔레콤이 호국보훈의 달을 맞아 국군 장병 특화 혜택을 제공한다고 합니다. 밀리패스 제휴로 인증 절차를 간소화 하고 뉴진스 포스터·우주패스 할인권 등을 제공하는 것인데요. '0 히어로' 혜택 강화는 물론 휴가·외박·외출 장병에게 무료 영화 관람권도 제공한다네요. 이 밖에 △KT, AI 코디니의 원하는..."
2023.06.05.,"SK텔레콤, 호국보훈의 달 맞아 국군 장병에 특화 혜택 제공",사진=SK텔레콤 SK텔레콤이 정전협정·한미동맹 70주년과 6월 호국보훈의 달을 맞아 국군 장병들에 감사함을 담은 다양한 특화 혜택을 선보인다고 4일 밝혔다. SKT는 국내 통신사 최초로 군인 신분 인증앱 ‘밀리패스’와 제휴를 통해 군인 요금제 가입 절차를 간소화했다. 또 현역 장병 뿐 아니라 직업...
2023.06.05.,"SK텔레콤, 신한카드와 'T멤버십' 고객 위한 제휴카드 출시",SK텔레콤은 신한카드와 함께 T멤버십 이용 고객에게 제휴처 이용 시 멤버십 혜택을 최대한 누릴 수 있는 'T멤버십 라이프 신한카드'를 출시했다고 5일 밝혔다. SK텔레콤과 신한카드는 아웃백스테이크하우스·VIPS·파파존스·도미노피자 등 T멤버십과 제휴된 4개 외식 브랜드를 고객이 이용하면 최대 혜택을...
2023.06.05.,"SK텔레콤 신종자본증권 4천억 발행, 만기 60년에 이자율 4.95%",SK텔레콤이 만기 60년에 이자율 4.95%인 신종자본증권을 발행했다. SK텔레콤은 4천억 원 규모의 무기명식 이권부 무보증 채권형 신종자본증권을 발행했다고 5일 공시했다. SK텔레콤은 4천억 원 규모의 무기명식 이권부 무보증 채권형 신종자본증권을 발행했다고 5일 공시했다. 60년 만기이며 연이자율은 4....
2023.06.05.,"[공시] SK텔레콤, 신종자본증권 4000억 규모 발행",SK텔레콤은 4000억원 규모의 무기명식 이권부 무보증 채권형 신종자본증권을 발행했다고 5일 공시했다. 2083년 6월 5일까지 60년 만기로 연리 이자율은 4.950%다.5년 뒤 조기상환을 청구할 수 있는 조기상환권(콜옵션)이 붙었다.
2023.06.05.,[단독]“AI 컴퍼니 전환 이대로는 안 된다”···유영상 SKT CEO 조직개편 단...,올해 초 ‘인공지능(AI) 컴퍼니’로의 전환을 선언한 SK텔레콤이 조직개편을 단행했다. 통상적으로 기업이 연말이나 연초가 아닌 연중에 조직개편을 하는 것은 상당히 이례적 일이다. SK텔레콤의 대화형 AI 서비스 ‘에이닷’의 가입자 증가가 정체에 빠진 가운데 핵심 사업인 이동통신 서비스를 에이닷에...
2023.06.06.,기업 '지배구조 핵심지표' 준수율 62%…SK텔레콤은 100% 준수,기업 지배구조 보고서의 핵심지표 준수율이 가장 높은 기업은 SK텔레콤이었다. SK텔레콤은 핵심지표 15개 모두를 준수해 333개 기업 중 유일하게 100% 준수율을 기록했다. 2021년 유일하게 100% 준수율을 기록했던 포스코홀딩스는 지난해 '주주총회 4주 전에 소집공고 실시' 항목을 지키지 않아 93%의 준수율을...
