날짜,제목,내용
2023.06.03.,"옷 사러 가니 서점, 책 사러 가니 와인…재미난 ‘팝업’ 세계 [ESC]","문구 전문 오롤리데이 같은 작은 브랜드들이 성공적으로 팝업 스토어를 여는 것을 보고 동서식품이나 아모레퍼시픽, 엘지생활건강, 농심, 삼양식품, 롯데제과, 삼성물산 등 큰 기업들도 본격적으로 팝업 스토어를 구상하게 되었습니다. 유행을 선도하는 권한을 큰 브랜드가 독점할 수 없게 된 것은 팝업..."
2023.06.03.,"코스피, 기관 순매수도 상위 10종목(2일)...카카오-한화솔루션-POSCO홀딩스","▲ 2일 코스피 시장에서 기관은 카카오, 한화솔루션, POSCO홀딩스, SK이노베이션을 집중 매수했다.© 연합뉴스. 2일 코스피 시장에서 기관은 카카오, 한화솔루션, POSCO홀딩스, SK이노베이션을 집중 매수했다. 반면, 아모레퍼시픽, 한미반도체, LG생활건강을 집중 매도했다."
2023.06.04.,"[주간 투자자 동향] 외국인, 반도체 투톱 1조3000억 싹쓸이","4위 아모레퍼시픽 -449억원(-42만주), 5위 기아 -400억원(-47만주), 6위 엔씨소프트 -341억원(-11만주), 7위 OCI -326억원(-24만주), 8위 KT -293억원(-94만주), 9위 NAVER -282억원(-14만주), 10위 한미반도체 -245억원(-93만주), 11위 LG생활건강 -240억원(-4만주), 12위 S-Oil -181억원(-25만주), 13위..."
2023.06.04.,"스킨유, 비타민C 포함한 싱그러운 향취 샤워젤 2종 출시","아모레퍼시픽 프리미엄 바디 케어 브랜드 스킨유(SKIN U)가 이노센트 라인의 샤워젤과 스크럽 신제품을 출시하고 브랜드 모델 신세경과 광고 캠페인을 전개한다. 이번에 선보이는 스킨유 샤워젤 2종(선셋 오랑쥬, 오드 플로럴)은 여름에 어울리는 시트러스, 플로럴 계열의 향취로 패키지 또한 깔끔한 백색으로..."
2023.06.04.,‘하루 4000개씩 팔려’…헤라 ‘블랙 쿠션’ 1천만개 판매 눈앞,"5월까지 890만개 판매…하루 4천개씩 팔려 업황 어려운데도 올 1분기 두자릿수 성장 ‘올드하다’ 이미지 벗고 MZ세대 브랜드로 아모레퍼시픽의 뷰티 브랜드 ‘헤라’가 효자 브랜드로 자리매김한 가운데, 그 중에서도 특히 2030 여성들에게 압도적 지지를 받고 있는 일명 제니 쿠션인 ‘블랙 쿠션’이 곧..."
2023.06.04.,"“내가 더 벌었어”…디밀 vs 레페리, 뷰티 MCN 1위 두고 갑론을박","후발주자인 디밀은 ‘오늘의 하늘’, ‘우린’, ‘제제’ 등이 소속돼있고 현대홈쇼핑과 아모레퍼시픽그룹으로부터 150억원 규모의 투자를 받았다. 결국 이번 사안의 핵심은 잠정매출액을 확정매출액처럼 광고할 경우 표시광고법 위반에 해당하는지 여부다. 이에 대해 윤주경 의원실이..."
2023.06.04.,'회장님'들의 숨바꼭질,서경배 아모레퍼시픽 회장의 장녀인 서민정 럭셔리브랜드 디비전 AP팀 담당은 272억원 규모의 이니스프리 지분 2만 3222주(9.5%)를 서경배과학재단에 1일자로 기부했다. 서 회장이 지난 2016년 9월 사재 3000억원을 출연해 설립한 이 재단은 생명과학 분야의 한국인 신진과학자를 선정해 연구비를 장기적으로...
2023.06.04.,5월 국내 증시 개인 순매수 상위종목 10개 수익률 -10.58%…기관·외인은 양호,"이외에도 에코프로(4284억 원), LG화학(2702억 원), LG생활건강(1658억 원), 엔씨소프트(1615억 원), 두산에너빌리티(1378억 원), 아모레퍼시픽(1010억 원), 한화솔루션(1008억 원), 이마트(782억 원), KT&G(781억 원) 순으로 많이 순매수했다. 해당 종목들은 모두 5월 한 달간 하락했다. 특히 에코프로(-22.88..."
2023.06.04.,"[분석] 화장품사 1분기 평균 영업익 60억, 전년비 15.2%↓",2위는 아모레퍼시픽그룹인데 영업이익 규모는 816억원으로 집계됐다. 전년동기에 비해 52.3% 감소했다.3위는 영업이익 232억원으로 흑자전환한 에이피알이다. 4위는 클래시스가 차지했다. 이 회사의 영업이익은 199억원으로 전년대비 19.1% 증가했다. 5위인 휴젤은 전년대비 24.9% 감소한 185억원의...
2023.06.04.,RE100 건너뛰고 '기후클럽 기여' 가능할까,"국내에서는 2020년 에스케이(SK) 계열사 6곳이 처음으로 가입했고, 현재 네이버, 삼성전자, 아모레퍼시픽 등 27곳이 참여하고 있습니다. 한국 정부와 재계가 추진하는 CF100이 RE100과 다른 점은 재생에너지 외에 원자력발전, 수소연료전지, 탄소포집활용(CCS) 등도 '무탄소 전원'으로 인정하겠다는..."
2023.06.05.,"아모레퍼시픽 라네즈, 해양 보전 활동 3개국서 진행","아모레퍼시픽의 라네즈가 WWF(세계자연기금)와 해양 보전을 위한 글로벌 파트너십을 맺었다고 5일 밝혔다. 이번 파트너십을 통해 라네즈는 한국, 중국, 태국 3개국에서 해안 보전 활동을 진행하게 된다. 라네즈는 지난 10년간, 글로벌 물 부족 국가의 식수 개선 사업과 지속 가능한 물 자원 보호를 위해 다양한..."
2023.06.05.,"아모레퍼시픽 라네즈, 세계자연기금 손잡고 해양 보전 나선다","아모레퍼시픽은 화장품 브랜드 라네즈가 세계자연기금(WWF)과 해양 보전을 위한 파트너십을 맺었다고 5일 밝혔다. 이번 파트너십을 통해 라네즈는 한국과 중국, 태국 등 3개국에서 해양 보전 활동을 진행한다. 한국에서는 충남 태안 국립공원 청포대 해안 쓰레기 수거 작업을 이어가고 있으며, 오는 22일에는..."
