날짜,제목,내용
2023.06.03.,"SK ON, 포스코인터내셔널 등 대기업 신입사원 수시채용 활발","SK온, 포스코인터내셔널, LG생활건강, LS일렉트릭, 셀트리온, KT커머스 등 대기업 신입사원 모집이 잇따르고 있다. 취업콘텐츠 플랫폼 진학사 캐치에 따르면 SK온은 이달 6일까지 '2023 수시채용'을 진행한다. 경영지원 13개 직무, 연구개발 5개 직무, 엔지니어 8개 직무를 각각 모집하며 필기전형은 6월..."
2023.06.03.,"SK하이닉스, 1Q D램·낸드 시장 순위 모두 '3위'",디자이너 SK하이닉스가 지난 1분기 글로벌 D램 시장에서 점유율 순위 3위로 하락한 데 이어 낸드플래시 부문에서도 2위와 격차가 벌어진 것으로 나타났다. 반도체 업황 악화 속 매출 감소 폭도 메모리 주요 공급사 중에서 가장 컸다. 3일 시장조사업체 트렌드포스에 따르면 지난 1분기 SK하이닉스...
2023.06.03.,"미래에셋증권, 6월 첫째주 SK바이오팜 등 55종목 매수 추천","미래에셋증권이 6월 첫째주(5월29일~6월2일) SK바이오팜 등 55종목을 매수 추천했다. OCI(010060) 투자 포인트 ▲OCI(사업회사)-반도체/2차 전지 소재... SK이노베이션(096770) 투자 포인트(최근 분기) ▲SKON, 2023년 2분기 IRA 인센티브 반영되며 흑자전환 예상 ▲정제 마진은 언더슈팅 구간으로 보고 있으며..."
2023.06.03.,"14조 가까이 산 외국인들, 반도체 외 담은 종목은","삼성전자와 SK하이닉스 등 반도체를 중점적으로 담고 있다. 반도체 외에는 현대차와 삼성SDI를 주로 사들였고, TIGER MSCI Korea TR 상장지수펀드(ETF)도... 현재까지 삼성전자만 10조6713억원 사들였고, SK하이닉스도 1조5873억원 순매수했다. 외국인들이 반도체 외에 주로 담은 것은 현대차로 나타났다...."
2023.06.03.,'인덕원 자이 SK VIEW' 인근 인덕원 퍼스비엘 흥행 성공하면서 인덕원 아파트...,"최근 서울 또한 아파트 매매 전세 가격 상승과 함께 다시 한번 선호지역 주요단지가 관심과 주목을 받으면서 '인덕원 자이 SK VIEW' 또한 인기를 증명하고... 올해, 둔촌주공 39㎡, 49㎡이 높은 경쟁률로 완판하면서, 서울 수도권 1군브랜드 소형아파트 그 중에 수도권에 위치한 경기 의왕시 내손동 인덕원 자이 SK..."
2023.06.04.,"SK그룹 ""지난해 사회적 가치 20조원 이상 창출""",SK그룹이 지난해 환경과 사회 분야 비즈니스 모델 혁신으로 2조원의 사회적가치(SV·Social Value)를 창출했다고 밝혔다. 이로써 총 20조원이 넘는 사회적가치를 만들어냈다는 설명이다. SK그룹은 4일 SK 주요 관계사들이 지난해 창출한 사회적가치 총액이 전년 대비 1조6천억원(8.6%) 가량 증가한 20조...
2023.06.04.,"SK, 작년 사회적가치 20.5조원 창출…5년째 화폐화해 발표","전년 대비 1조6천억원 증가…비즈니스 모델 혁신이 주효 최태원 회장 ""더 많은 사회적가치 창출 방안 찾아야"""" SK그룹이 지난해 사회적으로 창출한 가치 총액이 20조원을 상회한다는 분석이 나왔다. SK그룹은 4일 주요 관계사들이 지난해 창출한 사회적 가치(SV) 총액이 전년 대비 1조6천억원(8.6%) 증가한..."
2023.06.04.,"SK에코플랜트 자회사, 폐배터리 재활용 ‘지속가능 혁신상’",SK에코플랜트는 자회사 테스가 미국 비영리 환경단체 실(SEAL)이 주관한 ‘2023 SEAL 지속가능 비즈니스 어워즈’에서 ‘지속가능 혁신’ 분야... 인정받았다고 SK에코플랜트는 전했다. 지난해에는 미국 최고 권위 발명상 ‘에디슨 어워즈’와 영국 로이터 주관 ‘사회적책임 기업 어워즈’에서 수상했다....
2023.06.04.,[세종풍향계] “나 내일부터 SK맨”… 민간기업 택하는 공무원들,"일례로 산업부에서 혁신행정담당관으로 일하던 송용식 전 과장은 한화에너지로 옮겼고, 배성준 전 신남방통상과장은 SK에코플랜트로 갔습니다. 또 박훈 전 에너지기술과장은 SK하이닉스로, 권혁우 전 석유산업과장은 삼성전자로 각각 이직했습니다. 에너지 부문에서 근무해온 과장급 직원도 이달 중..."
2023.06.04.,"SK 텔레콤, 호국보훈의 달 맞아 국군 장병 통신생활 챙긴다",SK텔레콤이 정전협정∙한미동맹 70주년과 6월 호국보훈의 달을 맞아 국내 통신사 최초로 군인 신분 인증 앱 ‘밀리패스’와 제휴를 맺고 군인 고객을 위한 다양한 혜택을 제공한다. 또한 현역 장병 뿐 아니라 직업 군인까지 누릴 수 있는 경품 이벤트와 혜택을 마련했다고 밝혔다. (SK텔레콤 제공) 2023.6.4...
