날짜,제목,내용
2023.06.05.,"코스피, 기관 매수에 0.5% 상승 마감…외인 두산에너빌리티·LG에너지솔루션·...","◆ 외인 매수/매도 종목 투자자별 매매 동향을 살펴 보면 외인 순매수 상위 종목은 두산에너빌리티(217억원), LG에너지솔루션(196억원), HD현대중공업(193억원), 삼성중공업(159억원), HD현대인프라코어(158억원), KB금융(151억원), SK하이닉스(132억원), 현대차(114억원), 삼성엔지니어링(100억원)..."
2023.06.05.,[특징주] 조선업종 수익성 개선 전망 잇따라…STX중공업+6% 등,"이날 STX중공업(+6.93%), HD현대중공업(+6.3%), 현대미포조선(+6.23%), 대우조선해양(+5.49%), 케이에스피(+5.12%), HD한국조선해양(+5.06%), 일승(+5.02%), HSD엔진(+4.98%), 삼성중공업(+4.37%), 오리엔탈정공(+4.27%), 대양전기공업(+4.26%), 한국카본(+3.69%), 세진중공업(+3.34%), 인화정공(+3.3%) 등의 조선 업종 주가가 대거..."
2023.06.05.,[삼성그룹 월간동향] 최근 한달 시총 41조9240억 껑충...삼성전자·삼성중공업...,"이들 계열사 중 삼성중공업 종목은 최근 한달새 11.75% 상승해 삼성그룹 계열사에서 한달 기준 주가 상승률 1위를 기록했다. 삼성중공업 뒤를 이어 삼성전자, 삼성증권 종목도 각각 9.89%, 6.86%씩 상승해 상승률 상위권에 이름을 올렸다. 한편, 호텔신라 종목은 -10.31%를 기록해..."
2023.06.05.,"[공매도 TOP 10 종목] 코스피, 팬오션 공매도 1위…삼성전자-HD현대인프라코어...","이어 삼성전자(48만8382주), HD현대인프라코어(30만7220주), 삼성중공업(27만6174주), 한화생명(21만7985주), DB하이텍(16만7578주), 우리금융지주(14만2317주), 대우조선해양(13만7976주), HMM(12만6716주), 포스코퓨처엠(12만714주) 순으로 뒤를 이었다. HD현대인프라코어, 삼성중공업, 한화생명, 우리금융지주..."
2023.06.05.,물 들어올 때 노 젓자···현대미포조선·대우조선해양·HD현대중공업↑,"HD현대중공업(5.20%)과 HD한국조선해양(4.66%), 대우조선해양(4.58%), HJ중공업(4.32%), 삼성중공업(4.05%) 등 테마 관련주 전체가 고른 상승세를 보인다. 조선업황이 개선될 것이라는 투자 심리가 작용한 것으로 풀이된다. 강재현 SK증권 연구원은 ""조선 업종은 연말까지 이익 모멘텀 측면에서 가장 투자..."
2023.06.06.,"삼성중공업, ‘하도급 계약서 미발급’ 과징금 3천6백만 원","삼성중공업이 하도급 계약 내용과 대금 등을 적은 서면을 제때 발급하지 않아, 공정거래위원회로부터 시정 명령과 함께 과징금 3천6백만 원을 부과받았습니다. 공정위 조사 결과, 삼성중공업은 2019년 9월부터 2020년 4월 사이 수급사업자인 A사에 선박 전기장치와 기계장치 임가공 등 업무를 위탁했지만..."
2023.06.06.,삼성중공업·LS ELSECTRIC 등 주가 강세…기술력 지수 '저평가',"지난 5일 장마감을 기준으로 52주 최고가에 가장 근접한 기술주는 HD한국조선해양, 삼성중공업, 아이쓰리시스템 등으로 나타났다. 텐배거퀀트 5대 기술지표에 따르면 HD한국조선해양의 기술투자지수는 50.9, 기술력점수(TSS)는 1,443.0, 기업가치추정은 적정으로 나타났다. 삼성중공업의 기술투자지수는 9.0..."
2023.06.06.,"22분기만 흑자 삼성중공업, 해양플랜트로 경쟁력 키운다",삼성중공업의 차세대 FLNG 독자 모델인 MLF-N(이미지). [사진=삼성중공업] 22분기 만에 흑자 전환에 성공한 삼성중공업이 시장점유율 1위를 달리고 있는 '부유식 액화천연가스 생산설비(FLNG)' 수주 러시로 지속적인 성장을 꿈꾼다. 회사는 현재 개발 검토 중인 다수 FLNG 프로젝트의 기본설계(FEED)에...
2023.06.06.,[삼성그룹] 시가총액 1조9910억원 감소...삼성중공업 4.37% 상승 '주목',"이들 계열사 중 삼성중공업 종목은 전거래일 대비 4.37% 상승해 삼성그룹 계열사에서 주가상승률 1위를 기록했다. 삼성중공업 뒤를 이어 삼성엔지니어링, 삼성화재 종목도 각각 3.35%, 1.54%씩 상승해 상승률 상위권에 이름을 올렸다. 한편, 삼성전자 종목은 -0.69%를 기록해 삼성그룹..."
2023.06.06.,다시 뱃고동 울리는 조선주…실적 개선·정부 지원 '겹호재',"이 기간 삼성중공업(9.4%), HD현대중공업(5.3%), 대우조선해양(3.6%), 현대미포조선(1.9%) 등 조선주도 나란히 올랐다. 선가가 상승하면서 실적이 본격적으로 회복될 것이라는 증권업계 평가가 투심을 자극했다. 최근 신조선가는 170포인트를 기록했다. 조선업이 호황 가도를 달렸던 2007년(184포인트)에 근접한..."
2023.06.06.,차곡차곡 곶간 채우는 K-조선,"HD한국조선해양이 가장 앞서고 있으며 삼성중공업과 한화오션이 그 뒤를 이어가고 있다. 6일 조선업계에 따르면 HD한국조선해양 산하 조선 3사(HD현대중공업·현대미포조선·현대삼호중공업)는 현재까지 올해 총 93척, 114억2000만달러(약 15조1000억원)를 수주했다. 이는 연간 수주 목표(157억4000만달러)의..."
2023.06.06.,거제 연초면 한내항 침몰 예인선서 기름 유출,창원해경에 따르면 경유 4000ℓ를 실은 예인선 A호는 삼성중공업에서 화물 적재 후 출항 중에 플로팅도크 앵커체인과 접촉돼 우현 선미가 파공되면서 다량의 해수가 기관실로 유입돼 완전 침몰됐다. 예인선 승선원 4명은 다른 선박으로 무사히 피했다. 창원해경은 해당 침몰 선박이 경유 4000ℓ를 적재한 만큼...
2023.06.07.,"삼성중공업 거제조선소, 세계 선박수주잔량 1위…995만CGT","7일 삼성중공업과 영국 조선해운시황 전문기관인 클락슨리서치에 따르면, 5월 선박 발주량 79척 가운데 한국이 51만CGT(17척, 25%), 중국이 141만CGT(52척, 68%)를 수주한 것으로 나타났다. 전월대비 30% 감소, 전년동기대비 36% 감소한 수치다. 1~5월 누계 수주는 1373만CGT(502척)이며 한국..."
2023.06.07.,"하도급 계약서 발급 소홀한 삼성중공업, 공정위 제재","시사위크=권정두 기자 삼성중공업이 하도급거래 과정에서 대금 등을 적시한 서면을 발급하지 않아 공정거래위원회(이하 공정위)에 제재를 받았다. 공정위는 최근 삼성중공업의 불공정 하도급거래 행위를 적발해 시정명령을 내리고 과징금을 부과했다고 밝혔다. 공정위에 따르면, 삼성중공업은 2019년 9월부터..."
2023.06.07.,"FLNG 최강 삼성중공업 수주 준비 끝내, 플랜트 전문가 최성안 실력 발휘 채비","삼성중공업이 강한 실적 개선세와 더불어 해양 플랜트 분야의 여러 발주 건들을 따낼 잠재력이 높은 만큼 실적과 수주, 두 마리 토끼를 모두 잡을 수 있을 것으로 전망된다. 최성안 삼성중공업 대표이사 부회장이 플랜트 쪽에서 쌓은 전문성과 경험을 십분 발휘할 여건이 무르익은 것으로 보인다...."
2023.06.07.,"HD현대 對 한화, 해양방산 '진검승부'…삼성중공업은 어디로?","삼성중공업은 빠졌다. 7일 업계에 따르면 HD현대중공업과 한화오션은 6월 7일부터 9일까지 부산 벡스코에서 개최되는 MADEX 2023에 참가했다. 우선 HD현대중공업은 이번 전시회를 통해 연구개발 중인 차세대 한국형 구축함(KDDX)과 최초로 콘셉트가 공개되는 무인전력지휘 통제함, 기존 모델에서 한층..."
2023.06.07.,삼성중공업 주가 약세 '거제조선소 선박수주잔량 1위',삼성중공업 로고 삼성중공업 주가가 약세를 보이고 있다. 7일 오전 10시 43분 기준 삼성중공업은 0.16%(10원) 상승한 6460원에 거래 중이다. 삼성중공업 거제조선소가 5월 기준 세계 조선소 중 가장 많은 선박 수주 잔고를 기록했다. 7일 영국 조선해운시황 전문기관인 클락슨리서치가 집계한 결과 지난달 말...
2023.06.07.,"삼성중공업, 美선급서 '선체 구조 건전성 모니터링 시스템' 기본인증 획득",노르쉬핑 2023서 ABS AIP 승인받아 선체 거동 감시해 경보 알려…선체 안전성 향상 삼성중공업이 미국선급협회(ABS)로부터 선체 구조 건전성 모니터링 시스템 기술을 인정받았다. 스마트십 기술로 선체 안전성을 강화한다는 목표다. 7일 업계에 삼성중공업은 6일부터 9일까지 노르웨이 오슬로에서...
2023.06.07.,"다올투자 “조선업종 비중 늘리라, 삼성중공업 HD현대중공업 최선호주”","삼성중공업과 HD현대중공업은 조선업종 최선호주로 꼽혔다. 삼성중공업과 HD현대중공업은 조선업종 최선호주로 꼽혔다. 최광식 다올투자증권 연구원은 7일 ""조선업에서 호황의 향기가 감지되는 가운데 건조 지연에 따른 지체배상금(LD) 리스크도 회피할 수 있을 것이다""며 조선업종 비중확대 의견을 내놨다...."
2023.06.07.,[삼성그룹 6월동향] 이달들어 시총 3조220억 증가...삼성중공업 6월 상승률 선...,"이들 계열사 중 삼성중공업 종목은 이달 들어 5.39% 상승해 삼성그룹 계열사에서 6월 기준 주가 상승률 1위를 기록했다. 삼성중공업 뒤를 이어 삼성엔지니어링, 삼성화재 종목도 각각 3.71%, 2.66%씩 상승해 상승률 상위권에 이름을 올렸다. 한편, 멀티캠퍼스 종목은 -1.14%를 기록해..."
2023.06.07.,물 들어오는 K-조선株 '들썩'…하반기 노 저을까,"신조선가 지수 14년 만에 최고치…조선 株 강세 7일 한국거래소에 따르면 지난달 2일부터 이날까지 최근 한 달간 삼성중공업(010140)은 14.26% 상승했고, HD현대중공업(329180)은 14.51% 올랐다. 대우조선해양(042660)(현 한화오션)은 7.79% 상승했고, HD한국조선해양(009540), 현대미포조선(010620)도 각각 23.11%, 10.63..."
2023.06.07.,6월 1주 주요 제조업 전망,"HD한국조선해양은 올해 총 93척, 114억 2,000만 달러(한화 약 15조 972억 원) 규모 수주, 삼성중공업은 총 5척, 25억 달러(한화 약 3조 3,050억 원) 규모 수주, 한화오션은 총 5척, 10억 6,000만 달러(약 1조 4,013억 원) 규모를 수주함 □ 삼성중공업, 거제조선소에 암모니아 실증 설비 착공 - 삼성중공업이 암모니아..."
2023.06.08.,"삼성중공업, 노르웨이 선박박람회서 탄소중립·스마트십 인증",삼성중공업은 노르웨이 오슬로에서 열린 노르쉬핑 선박박람회에서 한국선급(KR)으로부터 탄소중립 관련 인증을 획득했다고 8일 밝혔다. 이번 인증을 통해 삼성중공업은 액화이산화탄소(LCO₂) 운반선에 대한 설계 개념승인(AIP)을 받았다. 인증받은 LCO₂ 운반선 화물탱크는 LCO₂의 안전한 운송에 필요한...
2023.06.08.,"삼성중공업, 노르쉬핑 박람회에서 탄소중립 기술 인증 획득",삼성중공업은 6일부터 노르웨이 오슬로에서 열리고 있는 '노르쉬핑' 선박 박람회에서 한국선급인 KR로부터 LCO2 운반선에 대한 설계 개념승인(AIP)을 획득했다고 8일 밝힘. LCO2 운반선은 포집된 이산화탄소를 저장시설까지 안전하게 운반할 수 있는 선박이다. 삼성중공업은 이번 KR 승인에 앞서 지난해 미국...
2023.06.08.,"HD한국조선해양·삼성중공업, 노르웨이 달려간 이유",HD한국조선해양과 삼성중공업이 노르웨이에서 액화이산화탄소(LCO2) 운반선 경쟁력을 확인 받았다. LCO2 시장은 아직 초입 단계지만 전망이 밝다. 양사는 이번 인증을 기반으로 시장 리딩에 나서겠다는 방침이다. 양사는 노르웨이 오슬로에서 열린 조선해양박람회 노르시핑(Nor-shipping)에 참가했다고 8일...
2023.06.08.,"KR, 삼성중공업 개발 ‘40K 액화 이산화탄소 운반선’에 개념 승인",AIP 인증서 수여식 현장.(사진=KR 제공) 한국선급(KR)이 지난 7일 노르웨이 오슬로에서 열리고 있는 노르쉬핑(Nor-Shipping 2023)에서 삼성중공업이 개발한 ‘4만m3급 액화 이산화탄소(LCO2) 운반선’에 대한 개념 승인(AIP)을 수여했다고 밝혔다. 이번 AIP를 획득한 선박은 KR과 삼성중공업 간 공동개발 프로젝트(JDP)를...
