날짜,제목,내용
2023.06.05.,"HD한국조선해양, 선별 수주에 수익성 개선…주가 '신바람'",HD한국조선해양 주가가 장 초반 상승세를 타고 있다. 이 회사는 올해 수주 목표를 빠르게 채워나가는 있다. 현재까지 103억 달러(84척)를 수주해 올해 수주 목표(157억4000만 달러)의 65.5%를 달성했다. 전 세계 선박 발주량은 2021년 정점을 찍고 지난해부터 완만하게 감소하고 있으나 이미 3년 치 이상의...
2023.06.05.,"HD한국조선해양, 수주 157억달러 고지 달성 '눈앞'..2분기 흑자전환 가시화",한국정경신문 이정화 기­자 [한국정경신문=] HD한국조선해양이 올 초부터 빠른 수주몰이로 성장세를 입증하고 있다. LNG(액화천연가스) 등 돈 되는 친환경 선박 시장에서 우위를 선점하며 연간 수주 목표치 달성을 코앞에 두고 있다.5일 조선업계에 따르면 HD한국조선해양은 최근 대만 선사...
2023.06.06.,"한화오션, 데뷔 무대는 ‘마덱스’…HD현대와 부산서 한판","대우조선해양 인수 과정에서부터 팽팽했던 한화그룹과 HD현대그룹의 기싸움이 부산에서 본격화될 전망이다. 한화오션의 첫 공식 데뷔 무대가... 울산급 Batch-III 호위함, 한국형 구축함 (KDDX), 한국형 차세대 스마트 구축함 (KDDX-S), 합동화력함 등이다. 이번 새로 선보이는 호위함에는 이제 한 가족이 된..."
2023.06.06.,다시 뱃고동 울리는 조선주…실적 개선·정부 지원 '겹호재',"올들어 흑자전환 잇따라 1일 한국거래소에 따르면 HD한국조선해양은 최근 한 달간(5월2일~6월1일) 15.8% 상승했다. 이 기간 삼성중공업(9.4%), HD현대중공업(5.3%), 대우조선해양(3.6%), 현대미포조선(1.9%) 등 조선주도 나란히 올랐다. 선가가 상승하면서 실적이 본격적으로 회복될 것이라는 증권업계 평가가..."
2023.06.06.,차곡차곡 곶간 채우는 K-조선,"HD한국조선해양이 가장 앞서고 있으며 삼성중공업과 한화오션이 그 뒤를 이어가고 있다. 6일 조선업계에 따르면 HD한국조선해양 산하 조선 3사(HD현대중공업·현대미포조선·현대삼호중공업)는 현재까지 올해 총 93척, 114억2000만달러(약 15조1000억원)를 수주했다. 이는 연간 수주 목표(157억4000만달러)의..."
2023.06.06.,"씨지텍, 제13회 국제해양방위산업전서 디지털 트윈기술 CNC 가공에 적용한 소...","한편, MADEX 2023은 방산, 수출기업의 홍보 및 수출 진흥을 위한 '방산전시회 국고보조금 지원 전시회(한국방위산업진흥회)'이다. 전시 기간 ▲함정, 잠수함, 해양방위 시스템 및 장비 ▲해양장비, 해양탐사선 및 특수선 ▲방위산업관련 제품 및 기술 ▲엔진 및 항해시스템 ▲조선소, 조선기자재..."
2023.06.06.,삼성중공업·LS ELSECTRIC 등 주가 강세…기술력 지수 '저평가',"지난 5일 장마감을 기준으로 52주 최고가에 가장 근접한 기술주는 HD한국조선해양, 삼성중공업, 아이쓰리시스템 등으로 나타났다. 텐배거퀀트 5대 기술지표에 따르면 HD한국조선해양의 기술투자지수는 50.9, 기술력점수(TSS)는 1,443.0, 기업가치추정은 적정으로 나타났다. 삼성중공업의 기술투자지수는 9.0..."
2023.06.06.,"두산퓨얼셀 수소사업 보릿고개, 정형락 정부 마중물 앞서 시장 개척 총력","두산퓨얼셀은 글로벌 에너지기업 쉘(Shell)과 조선기업 HD한국조선해양 등과 선박용 연료전지 개발을 진행하고 있다. 지난해 10월에는 쉘, HD한국조선해양, 하이엑시엄(두산 자회사), DNV(노르웨이 선급)과 '선박용 연료전지 실증을 위한 컨소시엄' 본계약을 맺었다. 이에 따라 두산퓨얼셀은..."
2023.06.06.,상장사 지배구조 지표 준수율 SKT만 100%…가장 모범적,"집중투표제를 채택하고 있는 기업은 강원랜드, 한화오션(옛 대우조선해양), 지역난방공사, 포스코홀딩스, 한국가스공사, 한국전력공사, KT&G, KT 등의... 기업 지배구조 핵심 지표 중 2개 항목을 지키지 않은 기업은 21개 기업으로 지난해 10개 기업에 비해 삼성바이오로직스, HD현대건설기계, 현대백화점..."
2023.06.07.,HD현대重 한영석 부회장 “필리핀 수빅서 유지보수사업 준비중”,"울산급 호위함 5,6번함 수주전엔 “수상함 분야 경쟁사 없다” 밥콕과 ‘캐나다 잠수함 사업’ 협력키로 한영석 HD현대중공업 부회장은 7일 국제해양... HD현대중공업은 2021년 밥콕과 한국형 경항공모함 설계 협력 경험을 바탕으로 다시 한 번 힘을 모으게 됐다. 한 부회장은 이 행사에서 “조선과 방산..."
2023.06.07.,부산국제조선해양대제전 개막,"'2023 부산국제조선해양대제전'이 개막한 7일 부산 해운대구 벡스코 제1전시장 내 HD현대 부스를 찾은 내외빈들이 자체 개발 중인 차세대 한국형 구축함(KDDX)과 무인전력지휘통제함, 수출용 원해경비함(OPV) 등 차세대 함정 모형을 둘러보고 있다. 9일까지 열리는 이번 행사에는 세계 12개국..."
2023.06.07.,물 들어오는 K-조선株 '들썩'…하반기 노 저을까,"대우조선해양(042660)(현 한화오션)은 7.79% 상승했고, HD한국조선해양(009540), 현대미포조선(010620)도 각각 23.11%, 10.63% 오르며 상승기류를 타고 있다. 조선업이 시장에서 주목을 받고 있는 배경에는 신조선가가 상승이 있이다. 영국의 조선·해운 시황 분석기관 클락슨리서치에 따르면 신조선가 지수는 최근..."
