날짜,제목,내용
2023.06.06.,"한화오션, MADEX 2023 참가…수상함 명가 기술력 선보인다",여기에 한화에어로스페이스의 최첨단 추진체계와 한화시스템의 최신 전투체계를 연계한 시너지를 통해 대한민국 해군에 최고 품질의 함정을 공급한다는 계획이다. 이를 통해 한화그룹은 ‘해저에서 우주까지’ 모두 아우르는 종합 솔루션 공급 기업으로 입지를 더욱 다질 것으로 기대된다. 한화오션...
2023.06.06.,한화 '김동관'-HD현대 '정기선'…부산서 'K방산' 맞불,조선업에 첫발을 들인 한화오션이 한화에어로스페이스와 한화시스템과 나란히 자리하면서 그룹 내 육·해·공 방산 모두 모이기 때문이다. '한국판 록히드마틴'(미국 통합방위산업체) 구축을 노리는 한화그룹의 청사진을 한눈에 볼 수 있게 될 전망이다. 한화오션은 이번 전시회에서 울산급 배치3(Batch...
2023.06.06.,"신냉전체제 심화 '방산주'↑…""유럽 신시장 열렸다""",작년 하반기 대규모 수주 체결로 1년 새 한화에어로스페이스 주가가 2배 이상 뛰는 등 뜨거운 관심을 받아오던 방산주들은 근래 들어 신규 수주 부재로 주가도 지지부진한 모습이다. 하지만 최근 신냉전체제 심화에 따라 유럽 시장이 방위산업의 새로운 시장으로 부상하며 국내 기업들에게 유리한 기회로...
2023.06.06.,"폴란드 대박 신화 잇는다…K방산, 올해 200억 달러 수출 노린다",한화에어로스페이스의 레드백 호주 수출도 남아 있다. 한화에어로스페이스는 지난 2021년 한화디펜스가 호주와 1조원 가량의 K9 수출 계약을 맺었다. 이르면 올해 안으로 우선협상 대상자가 발표된다. 우리 방산업체들의 이러한 움직임을 염두에 두고 방위사업청과 정부 등은 한국산 무기 수출...
2023.06.06.,"DB금융투자 “코스피 3000, 직관적으로 제시한 것” [투자360]","그는 코스피200 내에서 ‘최근 6개월 수익률 + 최근 12개월 수익률’이 높은 순서로 ▷포스코퓨처엠, ▷DB손해보험 ▷LS ▷한올바이오파마 ▷한화에어로스페이스 ▷HD현대인프라코어 ▷현대로템 ▷메리츠금융지주 ▷오리온 ▷하이브를 모멘텀 관련 10종목을 선정했다. 가치관련 종목으로는 코스피200내에서..."
2023.06.06.,"[정치in] 폴란드 국방장관 방한, 국방협력 속 추가 K방산 수출 여부도 주목","지난해 7월 한화에어로스페이스, 현대로템과 K9 자주포 212문·K2 전차 180대를 구매하는 기본계약을 체결했다. 계약 규모는 각각 24억 달러(약 3조 1660억원)와 33억 7000만 달러(약 4조 4450억원)이다. 현재도 1차 때와 버금가는 2차 수출 협상이 진행되고 있다. 하지만 앞서 1차 때와 달리 정부의 고심이 깊은..."
2023.06.06.,"씨지텍, 제13회 국제해양방위산업전서 디지털 트윈기술 CNC 가공에 적용한 소...","씨지텍의 대표적인 항공우주 및 방산 분야 국내 고객사로는 대한항공, KAI, 한화에어로스페이스, HD현대중공업 등이 있다. 이번 전시회에서 소개할 VERICUT은 실물과 똑같은 물체 및 환경(트윈)을 가상 환경(컴퓨터) 내에 만들고 시뮬레이션을 통해 발생 가능한 문제를 사전에 검증해 보는 디지털 트윈..."
2023.06.06.,"'K방산 큰손’ 폴란드 국방장관 방한, 대규모 추가 수출 이뤄지나","지난해 7월 한화에어로스페이스, 현대로템과 K9 자주포 212문·K2 전차 180대를 구매하는 기본계약을 체결했다. 계약 규모는 각각 24억 달러(약 3조1660억원)와 33억7000만 달러(약 4조4450억원)이다. 현재는 2차 수출이 추진되고 있다. 현대로템은 폴란드 국영 방산그룹 PGZ 등과 K2 현지화 모델인 K2PL 생산 및..."
2023.06.07.,"한화그룹 김동관 부회장 ""한화오션, 구조조정 안한다""","한편 김 부회장은 마덱스에 조성한 한화오션, 한화에어로스페이스의 부스를 차례로 방문, 직원들을 격려했다. 한화오션 부스에서는 가장 오랜 시간 머무르며 한화오션의 최신 기술이 총 망라된 함정에 대한 설명을 듣고난 뒤 ""한화오션이 잠수함 분야에서 세계 최고의 기술력을 갖췄을 뿐 아니라 수상함..."
2023.06.07.,한화오션 부스 찾은 김동관 부회장…경영정상화 힘 싣는다 [가봤어요],"이날 부산 벡스코에서 열린 MADEX에 깜짝 나타난 김동관 부회장은 출입구 정면에 꾸려진 한화시스템 부스를 거쳐 한화오션, 한화에어로스페이스의 부스를 차례로 방문했다. 한화오션 부스에서 가장 오랜 시간 머문 김 부회장은 최신 기술이 총 망라된 함정에 대한 설명을 들었다. 김 부회장은 한화오션의..."
