날짜,제목,내용
2023.06.04.,"경남도, ‘차세대 원전 글로벌 제조거점 육성’ 비전 제시","◇ 제조혁신 클러스터 조성 도는 국내 유일의 원전 주기기 제작업체인 두산에너빌리티를 비롯한 협력사의 40% 가량이 소재한 원자력 제조산업의 중심지임에도 불구하고 산업육성 컨트롤타워, 산·학·연 클러스터(협력지구), 연구기관 부족 등 원자력산업 육성 기반은 미흡한 실정이다. 이를 위해 도는..."
2023.06.04.,"[제12회 경남신문배 배드민턴대회] 천주클럽, 창원지역 셔틀콕 최강 클럽","4일 오전 창원축구센터 체육관에서 열린 제12회 경남신문사배 배드민턴대회 개회식에서 선수 대표가 선서를 하고 있다./성승건 기자/ 이번 대회는 경남신문사가 주최하고 창원시배드민턴협회가 주관했으며, 창원시, 창원시체육회, 두산에너빌리티, 경남농협이 후원했다. 60대부 16개 팀, 50대부 128개 팀..."
2023.06.04.,5월 국내 증시 개인 순매수 상위종목 10개 수익률 -10.58%…기관·외인은 양호,"이외에도 에코프로(4284억 원), LG화학(2702억 원), LG생활건강(1658억 원), 엔씨소프트(1615억 원), 두산에너빌리티(1378억 원), 아모레퍼시픽(1010억 원), 한화솔루션(1008억 원), 이마트(782억 원), KT&G(781억 원) 순으로 많이 순매수했다. 해당 종목들은 모두 5월 한 달간 하락했다. 특히 에코프로(-22.88..."
2023.06.05.,탈원전에 허덕이던 두산에너빌리티 부활… 올해 수주 9조원 전망,"두산에너빌리티가 지난 15일 창원본사 단조공장에서 신한울 3∙4 주기기 제작 착수식'을 열고 정부와 지자체, 발주처, 협력사 관계자들과 기념촬영을 하고 있다. 사진=두산에너빌리티 제공 지난 정부에서 '탈원전 정책' 희생양이 됐던 두산에너빌리티가 가파른 성장세를 보이고 있다. 소형모듈원전(SMR) 등..."
2023.06.05.,"[데이터로 보는 증시]삼성전자·두산에너빌리티, 기관·외국인 코스피 순매수...","외국인은 두산에너빌리티(034020)(217억원)를 비롯해 LG에너지솔루션(196억원), HD현대중공업(193억원), 삼성중공업(159억원), HD현대인프라코어(042670)(158억원), KB금융(151억원), SK하이닉스(132억원), 현대차(005380)(114억원), 삼성엔지니어링(028050)(100억원), HD한국조선해양(009540)..."
2023.06.05.,"폐배터리 관련주, '봄꽃만개' 코스모화학·NPC·두산에너빌리티·POSCO홀딩스...","5일 주식시장에서 코스모화학, NPC, 두산에너빌리티, POSCO홀딩스, 디에이테크놀로지는 상승했다. 코스모화학의 주가는 전 거래일 대비 2900원 오른 7230원에 거래를 마쳤다. 코스모화학의 주가 상승률은 5.91% 다. NPC와 두산에너빌리티는 전 거래일 대비 각각 400원, 510원 오른 7230원과 1만6950원에 거래됐다...."
2023.06.05.,"사모채 애용하던 두산그룹, 공모 회사채 시장도 '노크'","두산에너빌리티가 올해 1월과 2월, 3월 석 달에 걸쳐 150억원과 180억원, 240억원을 사모채로, 지주사인 두산도 지난달 24일 500억원을 사모채로 발행했다. 두산과 두산에너빌리티는 오는 7월 740억원과 100억원의 회사채 만기 물량을 보유하고 있다. 두산에너빌리티는 지난해에도 1월과 3월 100억원..."
2023.06.05.,[업앤다운]건설주 상승…삼성엔지니어링·두산에너빌리티↑,두산에너빌리티도 전거래일 대비 3.10%(510원)상승한 1만6950원으로 장을 마쳤고 동부건설도 전거래일 대비 2.86%(210원)상승한 7560원으로 장을 마감했다. 동부건설은 지난 2일 국가철도공단으로부터 1585억원 규모 평택-오송 2복선화 제4공구 건설공사를 수주했다고 공시했다. 현대건설도...
2023.06.05.,"두산밥캣, 실적 향상 바탕으로 52주 신고가","정동익 KB증권 연구원은 ""두산밥캣의 실적 향상은 미국 정부의 인프라 투자 확대와 현지 반도체·전기차 생산 비중 확대를 위한 산업 설비 투자 증가 등이 핵심 요인""이라며 ""에너빌리티는 SMR(소형모듈원전) 프로젝트 수주를 이어가면서 실적이 크게 증가했다""고 분석했다."
2023.06.05.,[더벨][박지원의 에코 에너지]국산 바람의 결 찾은 18년 뚝심…해상풍력 '원톱...,두산에너빌리티도 긴 시간 풍력 발전에 천착해온 기업이다. 특히 한국의 바람과 그 결을 연구하는 데 공을 들였다. 그 결과가 박지원 두산에너빌리티 회장이 방점을 찍은 해상풍력 시스템이다. 두산에너빌리티가 2012년 국내 처음으로 가동한 3MW 해상풍력 발전시스템. 사진=두산에너빌리티 ◇저풍속...
2023.06.05.,개미와 외국인은 최근에 어떤 주식 많이 샀을까?,두산에너빌리티가 2위에 이름을 올렸다. 친환경·신재생 에너지 전문기업 두산에너빌리티는 1분기 호실적과 최근 양호한 업황 전망으로 주목받고 있다. 두산에너빌리티는 화력발전소 국내 최대 EPC(설계·구매·시공) 발전 사업자다. 지난달 개인 투자자들은 879만 주를 순매수했다. 3위는 팬오션이다. 지난 한...
2023.06.06.,두산에너빌리티·HD현대중공업 등 외국인 순매수 활발…기술력 지수 '적정',"지난 5일 장마감을 기준으로 두산에너빌리티, LG에너지솔루션, HD현대중공업 등의 종목이 외국인 순매수 거래가 활발했던 것으로 집계됐다. 텐배거퀀트 5대 기술지표에 따르면 두산에너빌리티의 기술투자지수는 75.3, 기술력점수(TSS)는 1,441.5, 기업가치추정은 적정으로 나타났다. LG에너지솔루션의..."
2023.06.06.,"두산에너빌리티, 외국인 순매수 최다 종목으로 관심집중","두산에너빌리티 주가가 강세를 보였다. 특히 외국인이 217억원을 순매수해 가장 많이 몰린 것으로 나타났다. 6일 한국거래소에 따르면 전 거래일 3.10% 오른 1만6950원에 거래를 마쳤다. 두산에너빌리티는 1962년 현대양행으로 설립됐으며 1980년 중화학공업 구조조정의 일환으로 정부에 귀속, 한국중공업으로..."
2023.06.06.,"[위기에 빛난 오너 리더십]채권단 조기졸업한 박정원號 두산그룹, 3대 신사업...","지난해 ㈜두산, 두산에너빌리티, 두산밥캣 등이 모두 영업이익 1조원을 돌파한데 이어 올해도 호실적을 기록할 것으로 보여서다. 사실상 경영 정상화에 성공한 만큼 차세대 에너지, 산업기계, 반도체&첨단IT 등 미래 먹거리를 중심으로 재도약에 나설 것으로 관측된다.◇주력 계열사 모두 호실적 행진6일..."
2023.06.06.,"군산대 이대용 교수, 2023 에너지혁신인재포럼 성과발표회서 우수상 수상","'에너지혁신인재포럼'은 산업통상자원부 에너지인력양성사업에 참여하고 있는 전국 60여개 대학들과 LG화학, 두산에너빌리티 등 국내 대표적 에너지기업들이 모여 우수 성과들을 발표하고 공유하는 자리다. 이번 포럼에서는 과제운영(교과목 프로그램, 산학연 프로그램) 분야와 연구성과(우수논문) 분야에서..."
2023.06.06.,[여의도 클라쓰]'DGP vs 비에이치아이' 클라쓰가 다른 오늘의 종목은?,"▶▶▶ 클라쓰가 다른 인사이트 ▶ 이재상 어드바이저 오늘의 인사이트 - 건조한 봄날 건설 : HD현대인프라코어, 두산밥캣, 진성티이씨 조선 : HD현대중공업, 현대미포조선, 삼성중공업 ▶ 최원범 어드바이저 오늘의 인사이트 - You steal my No.1전 원전 : 두산에너빌리티, 지투파워, 일진파워, 우리기술..."
2023.06.07.,[업앤다운]건설주 상승…두산에너빌리티↑·삼성엔지니어링↓,이날 가장 큰 상승률을 보인 종목은 두산에너빌리티다. 두산세너빌리티는 전거래일 대비 2.65%(450원)상승해 1만7400원으로 장을 마감했다. 두산에너빌리티는 지난주와 5일에 이어 상승세가 지속되고 있다. 삼성물산은 전거래일 대비 1.27%(1400원)상승해 11만1600원으로 장을 마쳤고...
2023.06.07.,"두산, 에너지·신사업 앞세워 꽃길 닦는다","두산의 호실적은 두산에너빌리티와 두산밥캣이 이끌었다. 두산에너빌리티는 두산에너빌리티는 1분기 ▲매출 4조410억원 ▲영업이익 3646억원을 기록했다. 매출과 영업이익은 각각 전년 동기 대비 35.0%, 90.7% 늘었다. 두산밥캣의 경우 두산밥캣의 경우 1분기 ▲매출 2조4051억원 ▲영업이익 3697억원을 기록했다...."
2023.06.07.,창원시 전국 최초 수소액화플랜트 구축 임박,"창원시가 창원산업진흥원, 두산에너빌리티와 손잡고 전국 최초로 추진하고 있는 수소액화플랜트 구축사업 준공이 임박했다. 창원산업진흥원은 7일 안정적인 수소공급을 통한 수소인프라 확충 및 산업생태계 조성을 위해 지난 2020년 7월부터 2023년 6월까지 954억원을 사업비를 들여 일일 5톤급 상용..."
2023.06.07.,[더벨][박지원의 에코 에너지]터빈 원천기술 확보한 4세대의 '한방',박지원 두산에너빌리티 회장도 마찬가지다. 박 회장은 그중에서도 발이 빨랐다. 박 회장이 사장 취임 이듬해에 매듭 지은 4억5000만유로 규모의 딜은 두산가 4세대가 주도한 첫 번째 대형 M&A로 꼽혔다. 여전히 아버지와 삼촌 등 3세대가 두산그룹의 중심축이었지만 그 축의 방향이 이제 4세대로 향하고 있다는...
2023.06.07.,기관 매수에 코스피 강보합 마감…외인 LG에너지솔루션·포스코퓨처엠·삼성S...,"(252억원), 두산에너빌리티(204억원), OCI홀딩스(164억원), 바이오니아(137억원), HMM(126억원), 삼성물산(122억원), 루닛(121억원), 아프리카TV(105억원), 씨에스윈드(100억원), JYP엔터(89억원), 이오플로우(83억원), SK(64억원) 등이다.또한 외인 순매도 상위 종목은 삼성전자(900억원), 기아(646억원)..."
2023.06.07.,산업용 디지털 현장 제어 '컨포트랩' 시드투자 유치,"김기중 대표는 티맥스소프트, 두산중공업(현 두산에너빌리티), SAP 등에서 12년간 시스템 소프트웨어, 임베디드 시스템 소프트웨어 등 다양한 기술을 개발하고 상용화한 경험이 있으며, 김하나 COO는 한글과컴퓨터, 한컴그룹 등에서 마케팅과 브랜딩, 신사업 기획을 했다. 컨포트랩은 복잡하고 어려운 산업용..."
2023.06.07.,"창원산업진흥원, 정례브리핑 통해 청사진 밝혀","한국산업단지공단에서 추진하는 산업단지 환경개선 펀드사업(‘20.3.)을 통해 두산에너빌리티㈜와 공동으로 출자하여 하이창원㈜(SPC, 특수목적법인)을 설립하였으며, 설립된 하이창원㈜은 두산에너빌리티㈜ 창원공장 부지에 설치될..."
